archive,member,size,compressed,date_time
part1.zip,part1.txt,64150208,10891129,2025-08-26 05:51:50
part2.zip,part2.txt,103424487,17777514,2025-08-26 05:52:06
part3.zip,part3.txt,52811406,9702084,2025-08-26 05:52:26
